"llid","shape_class","shape_offset"
2755,"convex",-16.1627906976744
2765,"convex",-17
2770,"convex",-24.561797752809
2772,"convex",-7
2777,"convex",-2.5151515151515
2780,"convex",-18.6172839506173
2785,"convex",-28.8518518518519
2787,"convex",-6.5151515151515
2789,"convex",-21
2792,"convex",-23.8196721311476
2794,"convex",-42.4545454545455
2802,"convex",-28.0618556701031
2806,"concave",9.8372093023256
2809,"convex",-7.58823529411765
2815,"convex",-2.1111111111111
2816,"convex",-33.5789473684211
2817,"convex",-15.4132231404958
2824,"concave",26.6190476190476
2826,"convex",-13.7619047619048
2827,"convex",-26.9411764705882
2832,"concave",0.368421052631597
2835,"convex",-18
2836,"convex",-14.1739130434783
2841,"convex",-1.72413793103445
2842,"concave",19.3684210526316
2846,"convex",-29.561797752809
2847,"convex",-10.7352941176471
2848,"convex",-16
2850,"concave",9.7179487179487
2855,"convex",-28.3333333333333
2862,"convex",-0.797752808988797
2867,"concave",4.6666666666667
2872,"convex",-15.5151515151515
2875,"concave",5.6666666666667
2876,"convex",-22.1627906976744
2882,"convex",-0.515151515151501
2888,"convex",-15.3157894736842
2891,"concave",17.6190476190476
2893,"convex",-16
2896,"convex",-4
2897,"concave",10
2903,"convex",-7.20289855072465
2913,"concave",6.5714285714286
2918,"convex",-7
2919,"convex",-9.9803921568627
2927,"convex",-15
2929,"concave",5.2957746478873
2932,"convex",-14
2934,"concave",4.0909090909091
2935,"convex",-24.8823529411764
2936,"convex",-22.6493506493507
2939,"convex",-42.7042253521127
2940,"convex",-12.8717948717949
2944,"convex",-27.3809523809524
2948,"concave",36.4444444444444
2949,"convex",-16
2952,"convex",-18.4854368932039
2958,"convex",-34.0335570469799
2959,"convex",-35
2960,"concave",8.5714285714286
2961,"convex",-41.4065040650407
2962,"convex",-27
2964,"convex",-30.3033707865169
2966,"convex",-33.4761904761905
2968,"convex",-21.8771929824562
2974,"convex",-8.73684210526315
2975,"convex",-21
2978,"convex",-43.5747126436782
2979,"convex",-35.561797752809
2981,"convex",-23.9090909090909
2983,"convex",-3.76923076923075
2984,"convex",-41.7042253521127
2987,"convex",-24.9803921568627
2995,"convex",-16.5882352941177
